Province,District,Gender,School,SLC,NEB,Escore,Merit No
5,Nawalparasi,M,P,76.25,68.25,64,998
5,Nawalparasi,F,P,73.75,67.25,64,1003
4,Nawalparasi,F,P,73.75,66.5,64,1008
5,Nawalparasi,F,P,76.25,66,64,1009
4,Nawalparasi,F,P,78.5,64.75,64,1014
5,Nawalparasi,M,P,73.75,64,64,1017
5,Nawalparasi,F,P,73.75,61.5,64,1025
4,Nawalparasi,F,P,82.5,73.25,63,1049
4,Nawalparasi,F,P,82.5,68.25,63,1065
4,Nawalparasi,M,G,81.25,68.25,63,1066
4,Nawalparasi,M,G,80,67,63,1073
5,Nawalparasi,M,P,72.5,61,63,1099
4,Nawalparasi,F,G,61.25,54.25,63,1113
5,Nawalparasi,F,P,82.5,76.25,62,1119
4,Nawalparasi,F,P,77.5,71.5,62,1131
5,Nawalparasi,M,P,80,68.25,62,1145
4,Nawalparasi,F,P,70,64,62,1166
4,Nawalparasi,F,P,73.75,60.75,62,1181
4,Nawalparasi,M,P,72.5,59,62,1189
5,Nawalparasi,F,P,76.25,57.25,62,1191
5,Nawalparasi,F,P,80,64,61,1235
4,Nawalparasi,F,G,68.75,61.5,61,1247
4,Nawalparasi,F,G,68.75,60.75,61,1253
4,Nawalparasi,M,G,78.5,59.75,61,1261
4,Nawalparasi,F,P,72.5,54.75,61,1269
4,Nawalparasi,F,G,84,69.75,60,1295
5,Nawalparasi,F,P,68.75,67.25,60,1308
4,Nawalparasi,F,G,77.5,66.5,60,1316
5,Nawalparasi,F,P,78.5,66.25,60,1317
5,Nawalparasi,M,G,82,59.25,60,1345
3,Nuwakot,M,O,81.25,80.5,82,144
3,Nuwakot,F,P,75,61.5,66,879
3,Nuwakot,M,P,73.75,61,66,882
3,Nuwakot,F,G,73.75,64,62,1164
1,Okhaldhunga,M,O,78,73.25,88,56
1,Okhaldhunga,F,P,78.5,55.5,63,1111
1,Okhaldhunga,F,G,73.75,72.75,61,1210
5,Palpa,M,P,78.5,74,94,23
5,Palpa,M,P,77.5,77.75,93,25
5,Palpa,F,P,80,74,86,81
5,Palpa,M,G,83.75,74.75,80,198
4,Palpa,F,G,85,74.75,79,226
5,Palpa,F,P,70,64.5,79,242
5,Palpa,F,P,81.25,80.75,77,271
5,Palpa,F,G,82.5,69.75,75,364
5,Palpa,F,P,80,61.5,74,413
5,Palpa,F,G,75,75.75,73,434
5,Palpa,F,P,73.75,71.5,72,489
5,Palpa,F,P,75,63.25,72,508
5,Palpa,M,G,68.75,69.75,69,658
5,Palpa,F,G,70,64.75,68,733
5,Palpa,F,P,86.25,71.5,65,914
5,Palpa,F,P,76.25,71.5,65,916
5,Palpa,M,G,80,69.75,65,922
5,Palpa,F,P,75,69.75,65,924
5,Palpa,F,Null,54.25,67.53,65,936
5,Palpa,M,P,75,64.25,65,950
5,Palpa,M,G,81.25,79,64,973
5,Palpa,F,G,63.75,64,64,1018
5,Palpa,F,P,86,60.75,63,1100
5,Palpa,M,G,82.5,75.25,62,1123
5,Palpa,F,G,71.25,56.25,62,1194
5,Palpa,F,P,78.5,66.5,61,1225
5,Palpa,F,Null,70,63.25,61,1238
5,Palpa,M,Null,80,60.25,61,1257
5,Palpa,F,G,60.5,72.08,60,1290
5,Palpa,F,O,65,63.75,60,1328
5,Palpa,F,P,77.5,57,60,1351
4,Parbat,F,G,82.5,74.75,90,38
4,Parbat,F,G,85,80.75,87,58
4,Parbat,M,P,83.75,79.75,85,86
4,Parbat,M,P,83.75,75.75,83,124
4,Parbat,M,G,78.5,74.75,83,125
4,Parbat,M,P,72.5,60.75,83,138
4,Parbat,F,G,83.75,78.75,82,147
4,Parbat,M,Null,80,80.75,81,169
4,Parbat,F,P,86.25,77.25,81,174
0,Parbat,M,P,65,67.25,79,240
4,Parbat,M,G,75,62.25,78,268
4,Parbat,F,P,81.25,77.25,77,274
4,Parbat,F,P,81.25,64.5,77,294
4,Parbat,F,G,87.5,82.25,75,339
4,Parbat,F,P,88.75,75.75,75,348
4,Parbat,M,G,82.5,70.75,75,361
4,Parbat,F,P,88.75,81,74,381
4,Parbat,F,G,82.5,69.75,74,400
4,Parbat,F,P,90,82.25,73,425
4,Parbat,F,G,83.75,63.25,72,507
4,Parbat,M,P,80,59,72,518
4,Parbat,M,O,83.75,71.5,69,645
4,Parbat,F,G,78.5,63.25,68,738
4,Parbat,F,G,85,78.75,67,764
4,Parbat,M,G,75,57.5,67,826
4,Parbat,F,P,81.25,73.25,66,838
4,Parbat,M,P,81.25,60.25,66,885
4,Parbat,F,P,87.5,78.25,65,896
4,Parbat,M,P,86.25,77.25,65,900
4,Parbat,F,O,75,61,65,961
4,Parbat,F,Null,60,80.39,64,971
4,Parbat,F,P,70,68.25,64,999
0,Parbat,F,P,82.5,66.5,64,1007
4,Parbat,F,G,78.5,66.5,63,1075
4,Parbat,M,G,75,65.25,63,1081
4,Parbat,F,Null,81.25,71.5,62,1130
4,Parbat,M,G,72.5,68.25,62,1147
4,Parbat,F,Null,70,63.25,62,1177
4,Parbat,M,G,76.25,58.75,62,1190
4,Parbat,F,G,85,74,61,1206
4,Parbat,M,Null,74,60.25,61,1259
4,Parbat,F,P,87.5,67.25,60,1305
4,Parbat,F,G,75,60.5,60,1338
2,Parsa,F,G,81.25,80.75,78,247
2,Parsa,F,P,87.5,83.25,76,303
2,Parsa,M,G,72.5,75.75,76,312
0,Parsa,F,P,83.75,76.5,75,344
2,Parsa,M,G,78.5,63.75,74,410
2,Parsa,F,P,81.25,68.25,60,1302
2,Parsa,M,P,67.5,63,60,1331
2,Parsa,M,P,63.75,52.25,60,1359
5,Pyuthan,M,G,81,58.75,81,189
5,Pyuthan,M,P,80,71.25,78,261
5,Pyuthan,F,P,82.5,73.75,71,536
5,Pyuthan,F,G,62.5,53.25,70,629
5,Pyuthan,M,P,71.25,69,69,666
5,Pyuthan,F,P,78.5,74.75,68,701
5,Pyuthan,M,P,72.5,66.5,68,730
5,Pyuthan,F,P,70,65.75,64,1013
5,Pyuthan,F,P,78.5,64,63,1089
5,Pyuthan,M,P,81.25,67.75,62,1151
5,Pyuthan,F,Null,70,64.5,62,1161
5,Pyuthan,F,P,82.5,64,62,1162
5,Pyuthan,F,P,71.25,63.25,62,1176
5,Pyuthan,F,G,66.25,61.25,60,1337
5,Pyuthan,F,P,76.25,59,60,1346
3,Ramechhap,F,P,87.5,74,72,479
3,Ramechhap,F,P,80,83.8,65,894
3,Ramechhap,F,P,77.5,66.25,62,1155
3,Ramechhap,F,P,70,58.75,61,1265
3,Ramechhap,M,P,73.75,67.75,60,1304
3,Rasuwa,F,P,77.5,66.5,70,612
3,Rasuwa,M,G,65,60.75,68,748
2,Rautahat,M,P,82.5,74,75,356
0,Rautahat,M,G,75,79.75,74,384
2,Rautahat,F,P,80,63.25,71,568
2,Rautahat,M,P,77.5,78.25,70,582
2,Rautahat,M,P,80,78.25,69,634
2,Rautahat,F,G,77.5,74,67,776
2,Rautahat,M,Null,62.5,55.5,67,830
2,Rautahat,M,P,76.25,63.5,66,872
2,Rautahat,M,G,68.75,63.75,62,1171
2,Rautahat,M,P,83.75,66.5,61,1224
0,Rolpa,M,P,87.5,69,76,324
5,Rolpa,F,P,85,71,73,444
6,Rukum West,M,G,72.5,77.25,84,104
6,Rukum West,M,G,80,60.75,75,377
6,Rukum West,M,G,71.25,74,72,483
6,Rukum West,M,G,67.5,63.75,65,952
5,Rupandehi,F,P,83.75,75.75,93,26
5,Rupandehi,F,P,81.25,79,89,41
5,Rupandehi,M,P,85,74.5,87,64
5,Rupandehi,M,P,86.25,82.25,86,70
5,Rupandehi,F,P,81.25,76.5,86,77
5,Rupandehi,F,P,85,73.25,86,83
5,Rupandehi,M,P,86.25,82.25,84,96
5,Rupandehi,M,G,83.75,78.25,84,100
5,Rupandehi,F,P,78.5,72.25,83,129
5,Rupandehi,F,P,82.5,78.25,82,148
5,Rupandehi,F,G,80,68.25,81,184
5,Rupandehi,F,P,80,72.25,80,203
5,Rupandehi,F,P,78.5,80.75,79,218
5,Rupandehi,F,P,85,78.25,77,273
5,Rupandehi,M,P,71.88,58.5,77,301
5,Rupandehi,M,P,78.5,62.25,76,333
5,Rupandehi,F,P,85,74,75,355
5,Rupandehi,F,P,81.25,69.75,75,365
5,Rupandehi,M,P,66.25,64.75,75,375
5,Rupandehi,F,P,76.25,72.25,74,392
5,Rupandehi,M,P,85,73.25,72,485
5,Rupandehi,F,G,80,68.5,72,496
5,Rupandehi,F,P,70,68.25,72,499
5,Rupandehi,F,G,76.25,57.25,72,521
5,Rupandehi,F,P,78.5,65.75,71,556
5,Rupandehi,M,G,67.5,65.75,71,559
5,Rupandehi,M,G,78.5,70.75,70,599
5,Rupandehi,F,G,75,65.75,70,615
5,Rupandehi,F,P,78.5,59,70,627
5,Rupandehi,F,P,86.25,79.75,69,632
5,Rupandehi,M,P,83.75,72.25,69,642
5,Rupandehi,F,P,73.75,59,69,691
5,Rupandehi,F,G,67.5,59,69,692
5,Rupandehi,F,P,85,74,68,702
5,Rupandehi,M,P,76.25,68.25,68,724
5,Rupandehi,F,P,80,80.75,67,762
5,Rupandehi,F,G,76.25,74,67,777
5,Rupandehi,M,P,81.25,67.25,67,801
5,Rupandehi,M,G,77.5,64.5,67,809
0,Rupandehi,F,O,85.8,64,67,811
5,Rupandehi,F,G,80,73.25,66,839
5,Rupandehi,M,G,67.5,69,66,854
5,Rupandehi,F,P,80,68.75,66,855
5,Rupandehi,F,G,66.25,63.25,66,877
5,Rupandehi,F,P,80,71.5,65,915
5,Rupandehi,F,G,77.5,69.5,65,926
5,Rupandehi,M,G,66.25,67.25,65,938
5,Rupandehi,F,G,83,62,65,956
5,Rupandehi,M,P,71.25,61.5,65,960
5,Rupandehi,F,P,82.5,75.75,64,980
5,Rupandehi,F,P,82.5,69,64,995
5,Rupandehi,F,P,77.5,68.25,64,997
5,Rupandehi,M,P,78.5,78.25,63,1046
5,Rupandehi,M,P,86.25,71.5,63,1056
5,Rupandehi,F,P,81.25,69.75,63,1060
5,Rupandehi,M,Null,68.75,64.5,63,1085
5,Rupandehi,F,P,80,64,63,1088
5,Rupandehi,F,P,71.25,75.75,62,1121
5,Rupandehi,F,G,77.5,65.75,62,1158
5,Rupandehi,F,P,77.5,76.5,61,1205
5,Rupandehi,M,P,80,72.25,61,1211
5,Rupandehi,M,P,71.25,70.75,61,1217
5,Rupandehi,M,P,67.5,61,61,1249
5,Rupandehi,F,G,76.25,60.25,61,1258
5,Rupandehi,F,P,87.5,78.25,60,1277
5,Rupandehi,F,P,77.5,69,60,1299
5,Rupandehi,F,P,77.5,63.25,60,1329
5,Rupandehi,F,P,73.75,59.5,60,1344
6,Salyan,M,G,65,81.02,92,29
6,Salyan,M,G,62.5,69,69,667
0,Salyan,M,P,72.5,58.75,64,1029
6,Salyan,M,G,65.75,75.69,62,1122
6,Salyan,M,P,72.5,60.25,61,1260
1,Sankhuwasabha,F,Null,77.5,77.25,86,76
1,Sankhuwasabha,F,P,85,83.25,79,216
1,Sankhuwasabha,F,P,78.5,70.75,69,649
1,Sankhuwasabha,F,G,72.5,71.75,63,1055
1,Sankhuwasabha,F,P,77.5,65.75,60,1321
2,Saptari,M,P,82.5,72.25,84,112
2,Saptari,M,G,82.5,70.75,82,159
2,Saptari,M,P,82.5,74.25,72,478
2,Saptari,M,G,73.75,63,71,569
2,Saptari,F,P,82.5,71.5,70,595
2,Saptari,F,P,71.25,71.25,69,647
2,Saptari,M,G,52.5,80.55,68,695
2,Saptari,M,G,66.25,69.5,66,849
2,Saptari,M,P,71.25,62,63,1098
2,Saptari,M,P,56.25,75.1,62,1124
2,Saptari,M,P,75,62.5,61,1241
2,Saptari,M,P,71.25,61.75,61,1246
2,Saptari,F,P,71.25,66.75,60,1313
2,Saptari,F,P,72.5,60.5,60,1339
2,Sarlahi,F,P,83.75,79.75,88,49
2,Sarlahi,M,G,70,74,83,126
2,Sarlahi,M,P,86.25,81.5,81,168
2,Sarlahi,M,G,67.5,61,81,188
2,Sarlahi,F,O,73.75,70.75,74,398
2,Sarlahi,M,P,72.5,58.5,74,418
0,Sarlahi,F,O,83.75,73.25,70,590
0,Sarlahi,M,G,77.5,72.25,69,643
2,Sarlahi,M,P,75,64,66,869
2,Sarlahi,F,P,81.25,77.25,65,901
2,Sarlahi,F,P,83.75,76.5,64,978
2,Sarlahi,F,P,83.75,69.75,64,991
2,Sarlahi,M,P,72.5,61.75,61,1245
0,Sarlahi,F,P,85,72.25,60,1285
3,Sindhuli,M,P,82.5,79.75,77,272
3,Sindhuli,F,P,80,69.75,75,366
3,Sindhuli,F,G,66.25,64,72,506
3,Sindhuli,M,G,67.5,59.75,71,574
3,Sindhuli,M,P,79,86.82,63,1039
3,Sindhuli,F,G,66.25,82.2,62,1117
3,Sindhuli,M,P,85,69,62,1139
3,Sindhuli,F,P,82.5,80.24,60,1272
3,Sindhuli,F,Null,83.75,73.25,60,1284
3,Sindhuli,M,P,83.75,71.5,60,1292
3,Sindhuli,F,P,76.25,59.5,60,1343
3,Sindhupalchok,F,P,76.25,65.25,71,561
3,Sindhupalchok,F,P,83.75,73.25,67,779
3,Sindhupalchok,M,P,83.75,62,62,1179
0,Siraha,M,P,83.75,81.5,94,20
2,Siraha,M,P,76.25,67.25,84,115
2,Siraha,M,P,75,79,82,146
2,Siraha,M,G,80,70.75,81,181
2,Siraha,M,P,76.25,69.25,81,182
2,Siraha,M,P,80,73.25,80,201
2,Siraha,F,G,80,69.75,80,206
0,Siraha,F,G,76.63,70,79,231
2,Siraha,M,P,80,60.25,77,300
2,Siraha,M,P,71.25,59,76,335
2,Siraha,M,Null,81.25,80.75,74,383
2,Siraha,M,P,78.5,65.75,74,407
2,Siraha,M,P,83.75,79.75,71,524
2,Siraha,F,P,75,65.75,70,616
2,Siraha,F,P,82.5,79,68,696
2,Siraha,M,G,56.25,58,66,889
2,Siraha,M,Null,72.5,69.5,63,1061
2,Siraha,M,P,78.5,69,63,1063
2,Siraha,F,G,61.25,62.25,63,1097
2,Siraha,M,G,70,58.25,63,1106
2,Siraha,F,P,72.5,66.5,62,1154
0,Siraha,F,P,77.5,62.25,61,1242
2,Siraha,F,P,81.25,74.75,60,1283
1,Solukhumbu,F,P,82.5,76.5,77,277
1,Solukhumbu,F,P,88.75,78.25,70,579
1,Solukhumbu,M,G,80,63.75,62,1170
1,Sunsari,F,P,85,82.25,100,2
1,Sunsari,M,Null,83.75,82.25,94,19
1,Sunsari,F,P,76.25,84,83,120
1,Sunsari,F,P,82.5,74,79,227
1,Sunsari,F,P,67.5,68.5,79,234
1,Sunsari,M,P,68.75,63.25,76,332
1,Sunsari,M,P,85,75.75,75,349
1,Sunsari,F,P,81.25,74.75,75,354
1,Sunsari,F,P,81.25,71.5,74,393
1,Sunsari,M,P,72.5,57.75,74,420
1,Sunsari,F,P,75,57.25,73,471
1,Sunsari,F,P,76.25,72,71,539
1,Sunsari,F,P,82.5,77.25,70,584
1,Sunsari,F,P,82.5,69.75,69,653
1,Sunsari,F,P,76.25,69.75,69,656
1,Sunsari,M,P,72.5,69,69,665
1,Sunsari,F,G,52.5,60.75,69,689
1,Sunsari,F,P,80,72.75,66,841
1,Sunsari,F,G,70,55.75,66,892
1,Sunsari,F,P,81.25,71.75,65,913
1,Sunsari,F,P,80,70.75,65,918
1,Sunsari,F,P,72.5,54,64,1037
1,Sunsari,F,P,77.5,65.25,63,1080
1,Sunsari,F,P,71.25,54.75,63,1112
1,Sunsari,M,P,75,58.75,61,1264
1,Sunsari,M,P,62.5,76.27,60,1281
6,Surkhet,M,G,80,73,75,357
6,Surkhet,M,P,72.5,56.25,74,423
6,Surkhet,M,P,71.25,62,73,461
6,Surkhet,M,P,82.5,74,71,534
6,Surkhet,F,P,77.5,64.75,70,619
6,Surkhet,M,G,75,58.25,66,887
6,Surkhet,F,P,77.5,69.75,64,992
6,Surkhet,F,P,67.5,79.92,60,1273
4,Syangja,M,G,82.5,75.75,87,61
4,Syangja,M,G,78.5,77.25,81,175
0,Syangja,M,P,83.75,69.75,80,205
4,Syangja,F,P,83.75,62.75,80,214
4,Syangja,M,G,77.5,67.25,79,238
4,Syangja,F,P,85,70.75,77,284
4,Syangja,M,P,75,78.25,76,308
4,Syangja,F,G,80,75.75,76,311
4,Syangja,F,G,77.5,69.5,76,323
4,Syangja,F,P,78.5,75.75,75,352
4,Syangja,M,P,85,70.75,75,360
4,Syangja,M,P,77.5,64,74,409
4,Syangja,F,G,83.75,72.25,73,441
4,Syangja,F,P,71.25,63.25,73,459
4,Syangja,F,G,71.25,60.75,73,466
4,Syangja,F,G,76.25,62.75,72,510
4,Syangja,F,G,75,74,71,535
4,Syangja,M,P,80,71.5,71,540
4,Syangja,F,G,80,65.75,71,555
4,Syangja,F,P,81.25,65.5,71,560
4,Syangja,F,P,86.25,73,70,591
4,Syangja,F,P,82.5,67,70,610
4,Syangja,F,G,76.25,60.75,70,625
4,Syangja,M,P,71.25,57.25,68,755
0,Syangja,M,P,83.75,80.75,67,760
4,Syangja,F,G,73.75,72.25,67,786
4,Syangja,F,P,87.5,78,66,833
4,Syangja,F,P,78.5,74,66,836
4,Syangja,F,P,78.5,67.25,66,857
4,Syangja,F,G,81,63,66,878
4,Syangja,F,G,73.75,61,66,881
4,Syangja,F,P,67.5,57,66,891
4,Syangja,F,Null,71.25,53,66,893
4,Syangja,F,P,83.75,68.25,65,933
4,Syangja,F,P,83.75,67.25,65,937
4,Syangja,M,P,72.5,67,65,940
4,Syangja,F,G,74,64.42,65,949
4,Syangja,F,P,85,70.75,64,989
4,Syangja,F,G,66.25,57.75,64,1033
4,Syangja,F,Null,72.5,63.25,63,1092
4,Syangja,M,G,66.25,50.75,63,1116
4,Syangja,F,P,81.25,68.75,62,1143
4,Syangja,F,G,75,64.5,61,1232
4,Syangja,M,G,70,60.75,61,1252
4,Syangja,F,P,73.75,60.5,61,1256
4,Syangja,F,P,76.25,65.75,60,1322
4,Syangja,F,P,76.25,63.25,60,1330
4,Tanahun,F,P,83.75,82.25,98,7
4,Tanahun,M,P,86.25,82.25,94,18
0,Tanahun,F,P,87.5,78.25,89,42
4,Tanahun,M,P,76.25,73.75,88,55
4,Tanahun,F,P,86.25,81.5,87,57
4,Tanahun,F,G,83.75,77.25,82,149
4,Tanahun,F,P,83.75,72,82,158
0,Tanahun,F,P,75,61.5,82,165
0,Tanahun,F,P,85,83.25,81,166
4,Tanahun,F,P,85,80.25,81,170
4,Tanahun,F,P,76.25,79,80,195
4,Tanahun,M,G,75,78.25,79,224
4,Tanahun,M,O,85,78.25,78,248
4,Tanahun,F,P,77.5,58.25,75,378
4,Tanahun,F,G,87.5,77,74,386
4,Tanahun,F,G,83.75,75.75,74,390
4,Tanahun,F,P,77.5,59.75,74,415
4,Tanahun,M,G,80,57.75,74,419
4,Tanahun,M,P,73.75,67.75,73,452
4,Tanahun,F,P,82.5,70.25,72,492
4,Tanahun,F,G,78.5,64,71,565
4,Tanahun,F,G,58.75,64,71,567
4,Tanahun,F,G,71.25,55.5,71,575
4,Tanahun,M,G,82.5,69.75,69,655
4,Tanahun,M,G,73.75,73.25,68,704
4,Tanahun,F,G,77.5,57.25,68,753
4,Tanahun,F,G,62.5,54,68,758
4,Tanahun,F,G,82.5,72.25,67,784
4,Tanahun,F,P,80,71.5,67,789
0,Tanahun,F,G,80,71.5,67,790
4,Tanahun,F,G,80,64.25,67,810
4,Tanahun,F,P,85,77.25,66,834
4,Tanahun,F,P,80,71.5,66,843
4,Tanahun,F,G,71.25,58.75,66,886
0,Tanahun,F,P,82.5,79.75,65,895
4,Tanahun,F,P,80,74.75,65,906
4,Tanahun,M,P,86.25,68.75,65,930
0,Tanahun,F,P,83.75,73.25,63,1048
4,Tanahun,F,G,80,72.75,63,1050
4,Tanahun,M,P,81.25,72.25,63,1053
0,Tanahun,F,P,80,70.25,63,1059
4,Tanahun,F,G,84,67.25,63,1071
4,Tanahun,M,G,70,64.75,63,1083
4,Tanahun,F,G,75,56,63,1110
4,Tanahun,F,G,82.5,69,62,1140
4,Tanahun,F,G,66.25,64,62,1168
4,Tanahun,M,G,77.5,63.25,62,1175
4,Tanahun,F,G,76.25,60.5,62,1182
4,Tanahun,F,P,86.25,71.75,60,1291
4,Tanahun,F,P,81.25,66.5,60,1315
4,Tanahun,F,P,77.5,61.5,60,1335
4,Tanahun,F,G,75,59,60,1347
1,Terhathum,F,G,80,74.75,81,177
1,Terhathum,F,P,81.25,70.75,77,285
1,Terhathum,F,P,81.25,76.5,71,531
1,Terhathum,M,P,77.5,64.75,69,675
1,Udayapur,F,P,82.5,77.75,86,74
1,Udayapur,F,P,81.25,83.25,81,167
1,Udayapur,F,P,75,71.25,78,263
1,Udayapur,F,P,80,69.75,76,321
1,Udayapur,F,P,80,75.75,75,351
1,Udayapur,M,P,72.5,72,75,358
1,Udayapur,F,P,72.5,61.25,64,1027
1,Udayapur,F,G,75,66,62,1156
1,Udayapur,F,P,73.75,66.75,61,1223
1,Udayapur,M,P,68.75,68.25,60,1303
1,Udayapur,M,O,72.5,56.25,60,1355
